"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10888","checking a subcategory updates all children (edge types) in its group","Pathfinding","Sat Jan 17 00:44:27 UTC 2026","passed","Sat Jan 17 00:44:38 UTC 2026","","","",""
"","206","disables checkboxes while loading","SourceKindsCheckboxes","Sat Jan 17 00:44:22 UTC 2026","passed","Sat Jan 17 00:44:22 UTC 2026","","","",""
"","39","calculates the running time of a job and converts to a human readable format","getSimpleDuration","Sat Jan 17 00:46:20 UTC 2026","passed","Sat Jan 17 00:46:20 UTC 2026","","","",""
"Test cases for TestParseLimitQueryParameter_Invalid","0","TestParseLimitQueryParameter_Invalid","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestParseLimitQueryParameter_Invalid","TestParseLimitQueryParameter_Invalid"
"","60","displays a warning when there is a problem fetching the list of collectors","DownloadCollectors","Sat Jan 17 00:47:33 UTC 2026","passed","Sat Jan 17 00:47:33 UTC 2026","","","",""
"","217","should display a searchbox with a placeholder when rendered","AssetGroupEdit","Sat Jan 17 00:45:24 UTC 2026","passed","Sat Jan 17 00:45:25 UTC 2026","","","",""
"","0","returns undefined if graphData is {} or not a GraphResponse","getExploreTableData","Sat Jan 17 00:44:58 UTC 2026","passed","Sat Jan 17 00:44:58 UTC 2026","","","",""
"","172","should call onCancel when cancel button clicked","LoginViaSSOForm","Sat Jan 17 00:45:31 UTC 2026","passed","Sat Jan 17 00:45:31 UTC 2026","","","",""
"","1237","when user performs a single node search, the selected node carries over to the `start node` input field on the pathfinding tab","ExploreSearch interaction","Sat Jan 17 00:47:34 UTC 2026","passed","Sat Jan 17 00:47:36 UTC 2026","","","",""
"","985","opens a submenu when user hovers over `Copy`","ContextMenu","Sat Jan 17 00:43:35 UTC 2026","passed","Sat Jan 17 00:43:36 UTC 2026","","","",""
"","236","sets a secondary=id and searchType=pathfinding when primary is truthy","ContextMenu","Sat Jan 17 00:47:42 UTC 2026","passed","Sat Jan 17 00:47:42 UTC 2026","","","",""
"","380","clears the applied filter","FileIngestFilterDialog","Sat Jan 17 00:43:37 UTC 2026","passed","Sat Jan 17 00:43:37 UTC 2026","","User Select","",""
"","1220","renders asset group edit options with graph write permissions","ContextMenu","Sat Jan 17 00:47:39 UTC 2026","passed","Sat Jan 17 00:47:40 UTC 2026","","","",""
"","510","triggers a file download when a download button is clicked","DownloadCollectors","Sat Jan 17 00:47:32 UTC 2026","passed","Sat Jan 17 00:47:33 UTC 2026","","","",""
"","274","should eventually display list of tokens","UserTokenManagementDialog","Sat Jan 17 00:45:40 UTC 2026","passed","Sat Jan 17 00:45:41 UTC 2026","","","",""
"","165","renders the form for creating a new label","Tag Form","Sat Jan 17 00:42:49 UTC 2026","passed","Sat Jan 17 00:42:49 UTC 2026","","","",""
"Test cases for Test_NewSpec","0","Test_NewSpec","","Sat Jan 17 00:42:10 UTC 2026","passed","Sat Jan 17 00:42:10 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/lab/Test_NewSpec","Test_NewSpec"
"","64","returns the full environment of the environmentId found in the search params","useAvailableEnvironments","Sat Jan 17 00:46:08 UTC 2026","passed","Sat Jan 17 00:46:08 UTC 2026","","useSelectedEnvironment","",""
"","30","does not render count for a selected zone if prop is not set","DynamicDetails","Sat Jan 17 00:44:02 UTC 2026","passed","Sat Jan 17 00:44:02 UTC 2026","","","",""
"Test cases for TestUnmarshalFloat","0","TestUnmarshalFloat","","Sat Jan 17 00:41:58 UTC 2026","passed","Sat Jan 17 00:41:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestUnmarshalFloat","TestUnmarshalFloat"
"Test cases for TestParseOptionalBool","0","TestParseOptionalBool","","Sat Jan 17 00:41:44 UTC 2026","passed","Sat Jan 17 00:41:44 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestParseOptionalBool","TestParseOptionalBool"
"Test cases for Test_GetAssetGroupMembersBySelector","1","Test_GetAssetGroupMembersBySelector","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/Test_GetAssetGroupMembersBySelector","Test_GetAssetGroupMembersBySelector"
"","95","renders the Cypher Rules Panel when clicking the Rule Tab","Selected Details Tab Content","Sat Jan 17 00:46:15 UTC 2026","passed","Sat Jan 17 00:46:15 UTC 2026","","","",""
"","3","returns true if arrays are referentially equal","areArraysSimilar","Sat Jan 17 00:46:43 UTC 2026","passed","Sat Jan 17 00:46:43 UTC 2026","","","",""
"Test cases for TestHandleDatabaseError","0","TestHandleDatabaseError","","Sat Jan 17 00:41:44 UTC 2026","passed","Sat Jan 17 00:41:44 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestHandleDatabaseError","TestHandleDatabaseError"
"","0","properly displays bitwise integers","Formatting number properties","Sat Jan 17 00:44:01 UTC 2026","passed","Sat Jan 17 00:44:01 UTC 2026","","","",""
"Test cases for TestManagementResource_DeleteSAMLProvider","0","TestManagementResource_DeleteSAMLProvider","","Sat Jan 17 00:41:58 UTC 2026","passed","Sat Jan 17 00:41:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_DeleteSAMLProvider","TestManagementResource_DeleteSAMLProvider"
"","1660","when user performs a pathfinding search, and then clicks the swap button, the start and destination inputs are swapped","Pathfinding: interaction","Sat Jan 17 00:44:16 UTC 2026","passed","Sat Jan 17 00:44:18 UTC 2026","","","",""
"","0","A type and keyword were provided but there were no results available","Getting the text for the disabled item display for a search when there are no results","Sat Jan 17 00:45:06 UTC 2026","passed","Sat Jan 17 00:45:06 UTC 2026","","Empty data states","",""
"Test cases for TestIntSetValid","0","TestIntSetValid","","Sat Jan 17 00:41:58 UTC 2026","passed","Sat Jan 17 00:41:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestIntSetValid","TestIntSetValid"
